mz,PS-001_pos.mzML,PS-002_pos.mzML,PS-003_pos.mzML,PS-004_pos.mzML,PS-005_pos.mzML,PS-006_pos.mzML,mzTrim,control_mean,treatment_mean
240.24289598938563,163003.0,167954.6,216432.3,165931.2,269503.8,164576.5,240.2428,182463,200003
191.07296205283487,167538000.0,11548230.0,407048400.0,185197300.0,439034100.0,293930600.0,191.0729,195378210,306054000
751.673237825411,496191.2,1426542.0,145143.0,575155.7,505188.2,516119.5,751.6732,689292,532154
465.2432134095698,8628221.0,6879226.0,5577430.0,6636229.0,7061720.0,5746805.0,465.2432,7028292,6481584
383.2214235319889,100508.5,201151.3,6794.328,169416.1,132667.1,19888.87,383.2214,102818,107324
210.12351157728503,689732.5,509600.5,65317.97,918013.7,132370.7,1672104.0,210.1235,421550,907496
514.9247071869232,9037903.0,11449230.0,17873140.0,12507050.0,19231300.0,14094710.0,514.9247,12786758,15277686
1025.675504215129,686452.3,823585.6,674323.1,681999.3,1105391.0,982745.8,1025.6755,728120,923378
99.07458891324872,5532668.0,2648278.0,684741.7,918318.2,92203.34,3808052.0,99.0745,2955229,1606191
468.3069144797605,14471590.0,14873110.0,11502570.0,14962030.0,19801730.0,13656050.0,468.3069,13615757,16139936
99.07469090342248,903566.2,333570.0,96713.58,4140841.0,257495.2,2406600.0,99.0746,444617,2268312
480.3426547423516,3829282.0,3543966.0,3934690.0,3167678.0,4978835.0,3815303.0,480.3426,3769313,3987272
235.0603074672581,2001616000.0,632779500.0,990473000.0,1422675000.0,822458300.0,1120845000.0,235.0603,1208289500,1121992766
227.1639304551528,213635600.0,168453500.0,182781200.0,125261500.0,80481900.0,96408630.0,227.1639,188290100,100717343
814.5353270858781,3512881.0,3257447.0,2548438.0,2541523.0,2860914.0,4263303.0,814.5353,3106255,3221913
466.2007817634521,1176480000.0,1817755000.0,4588858000.0,2251087000.0,4609356000.0,2886993000.0,466.2007,2527697667,3249145333
870.621697951913,21727.9,23024.07,28176.06,28293.61,74430.6,53925.44,870.6216,24309,52216
306.1664105318899,231050.0,343247.7,75359.98,242943.6,37168.3,2048947.0,306.1664,216553,776352
167.09246233774084,95033680.0,71464720.0,127424400.0,134498900.0,114017500.0,114371100.0,167.0924,97974267,120962500
473.2152293766635,55068620.0,112223000.0,191554800.0,73158870.0,189061100.0,112882700.0,473.2152,119615473,125034223
436.29457312885984,74119980.0,61548230.0,60189910.0,57209990.0,47976250.0,47794440.0,436.2945,65286040,50993560
693.4710759213576,19395.0,20274.93,30724.6,20281.88,63609.04,48186.96,693.471,23465,44025
176.11302208251666,294126000.0,334682700.0,395005600.0,319856800.0,398599700.0,324982900.0,176.113,341271433,347813133
369.1209365296172,43865.54,17134.09,71592.97,49013.54,46980.31,20768.32,369.1209,44198,38920
254.11622620389983,2903444.0,8877932.0,7921957.0,5114436.0,8032203.0,4147279.0,254.1162,6567778,5764639
228.18144364689036,22872990.0,23125880.0,23905500.0,22134780.0,20892350.0,16622720.0,228.1814,23301457,19883283
